,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0770,-0.8506967,-0.0015532187,0.84937507,-1.8426163,-0.0075991964,1.8267487,-0.84941965,0.0020509153,0.85275775,-0.890237,-1.888705,-0.8949651,-0.00085698895,-0.0038670474,-0.0049706236,0.8914487,1.8828917,0.88550544,-0.004154071,9.085726e-05
0780,-0.8501833,-0.0019899104,0.8479603,-1.8419086,-0.007939125,1.8252841,-0.8486795,0.0019015045,0.85161287,-0.8909817,-1.8891306,-0.8952466,-0.0022540598,-0.0050079413,-0.0058603627,0.88943666,1.8810394,0.8839708,-0.0045076343,0.0005046864
0790,-0.8488762,-0.0017324882,0.8471993,-1.8406028,-0.007812963,1.8242006,-0.84755546,0.0020159418,0.8506841,-0.8896571,-1.8876165,-0.89367044,-0.0014121648,-0.0040369867,-0.0047882604,0.8897599,1.881437,0.88453794,-0.0045095743,0.0017533447
0800,-0.8477442,-0.0015369761,0.8464441,-1.8393859,-0.0076533714,1.8232441,-0.8464523,0.002213753,0.8499021,-0.8906653,-1.8883835,-0.8942636,-0.0029982203,-0.0054041203,-0.0059096944,0.88760835,1.8794425,0.88283056,-0.00419072,0.00048611927
0810,-0.84685445,-0.0015093138,0.8455606,-1.8384689,-0.0077347998,1.8221132,-0.84564114,0.0021574874,0.848948,-0.8895816,-1.8871495,-0.8929635,-0.0024724414,-0.0047787856,-0.005157224,0.887647,1.8794926,0.88303393,-0.0031053864,-0.00036416703
0820,-0.8462263,-0.0018555891,0.8442494,-1.8377174,-0.0080527,1.820659,-0.84492445,0.0019370464,0.8477527,-0.8889809,-1.886326,-0.89198935,-0.0025345087,-0.0046520606,-0.004821485,0.8869074,1.8788512,0.8826579,-0.0034001074,9.618032e-05
0830,-0.8450655,-0.0017228764,0.8433691,-1.8365004,-0.007965801,1.8196275,-0.8438513,0.0020598473,0.8468996,-0.888377,-1.8856239,-0.89135116,-0.0024640225,-0.00453068,-0.004713215,0.8863986,1.8783396,0.8822218,-0.0038083475,-0.0009606102
0840,-0.8433146,-0.00091970287,0.84320396,-1.834745,-0.0072392025,1.8192992,-0.84219795,0.0028396768,0.8467527,-0.88700527,-1.8841565,-0.8898414,-0.001687932,-0.0036959695,-0.0037603723,0.886634,1.8785462,0.88257086,-0.0038621356,0.0006770125
0850,-0.8429995,-0.0013895996,0.8419959,-1.8343779,-0.0077284425,1.817952,-0.8418784,0.0024281193,0.84556365,-0.8861974,-1.8832464,-0.8888932,-0.0014424371,-0.0033808746,-0.0033515154,0.88636947,1.8782713,0.88242626,-0.0031848554,-0.00019030109
0860,-0.84182787,-0.0010947022,0.8414506,-1.8330566,-0.0073709968,1.8173096,-0.84070414,0.0027672353,0.84507066,-0.88640285,-1.8833965,-0.8890635,-0.0022640899,-0.0041656094,-0.0040855114,0.8849139,1.8768235,0.88108206,-0.0035666034,-0.00043781832
